# BUSCO version is: 5.2.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 954)
# Busco id
102804at33208a
103854at33208a
107151at33208a
108764at33208a
114954at33208a
119252at33208a
121127at33208a
127766at33208a
130245at33208a
130256at33208a
131349at33208a
131848at33208a
137383at33208a
13816at33208a
139188at33208a
143619at33208a
14776at33208a
147873at33208a
152327at33208a
153034at33208a
157109at33208a
16244at33208a
162821at33208a
164767at33208a
166097at33208a
168850at33208a
168924at33208a
169864at33208a
172677at33208a
177718at33208a
177858at33208a
178537at33208a
179485at33208a
182834at33208a
186707at33208a
187280at33208a
189414at33208a
190726at33208a
195986at33208a
197652at33208a
200997at33208a
201397at33208a
202545at33208a
205220at33208a
206786at33208a
207599at33208a
208219at33208a
212972at33208a
214788at33208a
215654at33208a
216257at33208a
216563at33208a
219795at33208a
219856at33208a
222489at33208a
224280at33208a
226941at33208a
227087at33208a
227453at33208a
227979at33208a
231700at33208a
235149at33208a
235430at33208a
239016at33208a
239149at33208a
239597at33208a
240437at33208a
245482at33208a
246241at33208a
247183at33208a
247905at33208a
251076at33208a
255924at33208a
257141at33208a
259581at33208a
260752at33208a
266460at33208a
266469at33208a
266808at33208a
267439at33208a
270594at33208a
271742at33208a
273989at33208a
274044at33208a
274769at33208a
274992at33208a
277935at33208a
278227at33208a
280914at33208a
281304at33208a
281693at33208a
285902at33208a
286553at33208a
289235at33208a
289928at33208a
291875at33208a
295775at33208a
301572at33208a
302921at33208a
303117at33208a
304388at33208a
307109at33208a
308610at33208a
311761at33208a
313091at33208a
315393at33208a
318483at33208a
318532at33208a
320390at33208a
323473at33208a
324249at33208a
325183at33208a
327301at33208a
331112at33208a
331186at33208a
333062at33208a
333800at33208a
334336at33208a
334342at33208a
334764at33208a
334820at33208a
335107at33208a
336647at33208a
338482at33208a
339319at33208a
340558at33208a
340577at33208a
344346at33208a
344442at33208a
344581at33208a
344611at33208a
345959at33208a
346541at33208a
348449at33208a
348544at33208a
348761at33208a
349064at33208a
352600at33208a
352854at33208a
353768at33208a
354829at33208a
354949at33208a
355210at33208a
355739at33208a
356175at33208a
356334at33208a
357580at33208a
359324at33208a
359532at33208a
361100at33208a
361203at33208a
361216at33208a
363634at33208a
363840at33208a
363851at33208a
364383at33208a
364694at33208a
365323at33208a
366124at33208a
366814at33208a
367551at33208a
367957at33208a
368670at33208a
368875at33208a
371241at33208a
371297at33208a
371526at33208a
372707at33208a
373040at33208a
376982at33208a
378033at33208a
378316at33208a
378913at33208a
379636at33208a
379771at33208a
381303at33208a
382000at33208a
382262at33208a
384187at33208a
387079at33208a
387117at33208a
389367at33208a
389527at33208a
390192at33208a
393219at33208a
393291at33208a
393419at33208a
393895at33208a
395147at33208a
395183at33208a
396237at33208a
397659at33208a
398013at33208a
398607at33208a
399092at33208a
400042at33208a
401196at33208a
401220at33208a
401679at33208a
401779at33208a
403171at33208a
406927at33208a
411515at33208a
411755at33208a
412370at33208a
412542at33208a
414001at33208a
414603at33208a
415618at33208a
418979at33208a
419502at33208a
419914at33208a
421396at33208a
421685at33208a
423799at33208a
423848at33208a
424392at33208a
424569at33208a
424646at33208a
427349at33208a
427789at33208a
429011at33208a
429274at33208a
430701at33208a
432050at33208a
432522at33208a
433216at33208a
433606at33208a
434068at33208a
434863at33208a
435253at33208a
435678at33208a
435921at33208a
435939at33208a
436007at33208a
436539at33208a
437653at33208a
438453at33208a
440195at33208a
440493at33208a
441575at33208a
442169at33208a
442823at33208a
443305at33208a
443518at33208a
443928at33208a
444160at33208a
444231at33208a
445031at33208a
445034at33208a
445091at33208a
446031at33208a
447320at33208a
448196at33208a
448514at33208a
449056at33208a
449139at33208a
449189at33208a
450643at33208a
450785at33208a
451957at33208a
452208at33208a
452499at33208a
453049at33208a
453056at33208a
457777at33208a
460044at33208a
460518at33208a
461193at33208a
462897at33208a
463071at33208a
464204at33208a
464243at33208a
464286at33208a
464987at33208a
465401at33208a
465512at33208a
465651at33208a
465703at33208a
465933at33208a
466616at33208a
466942at33208a
467106at33208a
467744at33208a
468248at33208a
468631at33208a
468710at33208a
469367at33208a
470197at33208a
472352at33208a
473106at33208a
474144at33208a
474387at33208a
476036at33208a
477052at33208a
477939at33208a
480735at33208a
482691at33208a
483489at33208a
485003at33208a
485696at33208a
487873at33208a
488559at33208a
489359at33208a
489858at33208a
491252at33208a
492033at33208a
493913at33208a
494057at33208a
49474at33208a
495175at33208a
495207at33208a
495311at33208a
495329at33208a
495389at33208a
495605at33208a
495802at33208a
496070at33208a
496219at33208a
498535at33208a
500261at33208a
502128at33208a
502407at33208a
502429at33208a
502584at33208a
502691at33208a
504207at33208a
504691at33208a
504731at33208a
504912at33208a
505718at33208a
50756at33208a
508379at33208a
508986at33208a
509494at33208a
509816at33208a
510174at33208a
510522at33208a
511272at33208a
511386at33208a
511575at33208a
514121at33208a
514296at33208a
514565at33208a
514675at33208a
514724at33208a
514740at33208a
514834at33208a
514892at33208a
515058at33208a
515410at33208a
515425at33208a
515640at33208a
516078at33208a
517311at33208a
517686at33208a
517968at33208a
518288at33208a
518569at33208a
518635at33208a
519030at33208a
520011at33208a
521343at33208a
522886at33208a
522988at33208a
523206at33208a
523376at33208a
523534at33208a
524148at33208a
524165at33208a
524322at33208a
525888at33208a
526673at33208a
526839at33208a
527406at33208a
528325at33208a
529093at33208a
